metier.cm,pcgroup,year,Node Strength,Importance,Scaled Node Strength,Long-term Mean Node Strength,5-Year Mean Node Strength,Scaled Importance,Long-term Mean Importance,5-Year Mean Importance,Revenue,5-Year Mean Revenue,Landed Weight,5-Year Mean Landed Weight,Scaled Revenue,Long-term Mean Revenue,5-Year Mean Scaled Revenue,Scaled Landed Weight,Long-term Mean Landed Weight,5-Year Mean Scaled Landed Weight,Edge Density,Scaled Edge Density,Long-term Mean Edge Density,5-Year Mean Edge Density
Salmon,Puget Sound,2020,0.030764453979953,0.0423401402685267,-1.560347042618962,0.1612875392184235,0.10077241033259383,-1.01723453709552,0.29304005898823904,0.1648687772964131,1019726.9,2441630.498628572,850768,2155495.2,-1.2383963508401938,4904950.098774553,-0.7851713653764074,-1.0903753542391317,6503176.5,-0.8386875325104949,0.305555555555556,0.12327997903148488,0.3001909854851032,0.26994227994228004
Salmon,North WA Coast,2020,0.3030119715943,0.0123421740081253,-1.6016143958757285,0.6233246509265441,0.5468442818709094,-2.814496029287709,0.8611992782322426,0.7925526026308131,329907.65,517258.4246,50816,99538,-1.2720854592383788,756274.414,-0.7131155388115911,-1.1840505372724732,232386.375,-0.8663262924611187,0.333333333333333,-0.39128743890745477,0.37133520074696547,0.32920634920634917
Salmon,WA Coast,2020,0.080966479294047,0.122952000100906,-0.9317088522619533,0.11023101878142119,0.12053565264024795,-0.6615901898415416,0.16826420196136865,0.15025138779294517,2517266.1493422114,1966315.8171558895,738075,475733.4,-0.24091520865326727,2767700.825913692,-0.7709229378279826,-0.6575643060362991,1164880.875,-1.0617444784588375,0.642857142857143,-0.8923670869093516,0.7057422969187674,0.6571428571428574
Whiting,WA Coast,2020,0.124514999385966,0.225416253275178,0.2380714476614062,0.10637413033339563,0.16482712546757483,0.12038025099473969,0.19965778355549782,0.34683624929828843,6522599.964760972,6940779.5318221105,95033843.9272,98597594.95044,0.5909484868597653,5439051.986408934,0.8190164518485414,1.0573982273695604,66108734.726131245,1.187676180291556,0.642857142857143,-0.8923670869093516,0.7057422969187674,0.6571428571428574
Salmon,Astoria,2020,0.00210919990873078,1.4113293843921e-4,-1.4564973346148362,0.02419207523266366,0.015435173970426163,-1.0031911252253538,0.013295809677386937,0.005645407992142501,54807.735708424436,74884.92727826272,7643,11858.2,-0.8833826942489432,341272.0971623521,-0.8214697795258028,-1.0009310122196255,69323.25,-0.9325278458461403,0.666666666666667,-0.06908425183309799,0.6735294117647057,0.7257142857142855
Whiting,Astoria,2020,0.699799915817753,0.998169016757184,2.729234205594922,0.21020689572646048,0.41886919953994123,2.269887141530756,0.37828357090917836,0.7264812797891498,19878530.112456914,14827430.295211961,118854586,124012492.8,1.9775788918920365,8086784.094620096,1.1304652952869596,1.1138551537905048,75282157.0625,1.245708282295044,0.666666666666667,-0.06908425183309799,0.6735294117647057,0.7257142857142855
Salmon,Tillamook,2020,0.0326808147374122,0.114849380561074,-1.3729390031641922,0.33429200109339785,0.09673491867889371,-1.1940475492730502,0.530581359146555,0.169083916207889,161796.5,115597.47,16406,13880.4,-0.491887991001035,288609.18025,-0.6710873266518289,-0.6517532165297494,56615.6875,-0.6926903146772427,0.6,-0.1874775755505773,0.6257703081232493,0.5866666666666667
Salmon,Columbia River,2020,NA,1,NA,1,NA,0,1,1,2610757.614,1853154.313457143,1029471,572770.8,0.11140333274225968,2513058.2766703893,-0.7524667290604038,-0.13689239954120447,1107504.6875,-0.9380692790645258,0,0,1,0
Salmon,Newport,2020,0.0615746460213288,0.106203517625303,-0.6470803546588041,0.09596574631395381,0.05732245572862447,-0.4119370752444083,0.1437286519364586,0.08771400494909845,1386993.7535027033,1234023.2049359698,149548,157751.2,-0.17005871039444023,1613528.2860193592,-0.28489318586530954,-0.4621448648304991,288738.9375,-0.43490841665888197,0.714285714285714,-0.08099091475409972,0.7249299719887956,0.8047619047619048
Whiting,Newport,2020,0.265407979539999,0.128596412935863,1.6520015742181953,0.1631009326034759,0.1613031906645413,-1.0833145521237517,0.2611641573099009,0.17879107981636438,6738154.695767263,7100972.306031774,65382988,78609460.4,0.27234230035083357,5982605.962410305,0.4031221934600529,-0.001674722034398954,65421784.3125,0.5692729618633844,0.714285714285714,-0.08099091475409972,0.7249299719887956,0.8047619047619048
Salmon,Coos Bay,2020,0.0431992982713878,0.0365201847491707,-0.7094245273299989,0.09726198945763749,0.03300630828330746,-0.9496045306002564,0.14191776057663644,0.04908217264381093,404401.755,396759.1649285713,38830,49473.6,-0.5906506165683278,1419211.618776555,-0.5950988395300849,-0.6347271536767636,268740.75,-0.6053427863391161,0.777777777777778,0.07674932527199613,0.7655462184873949,0.7166666666666666
Salmon,Brookings,2020,0.0908227553358793,0.09666661242294,-0.5619278807456356,0.1433978343959641,0.06562710244236324,-0.795659231827909,0.2574156675745166,0.11024330071326778,245799.0342857143,282048.34823193453,21546,30822.6,-0.4812109830859246,469124.7663046224,-0.40310279625694745,-0.6596299599708103,79925.75,-0.554814107099477,0.866666666666667,0.4656854628484015,0.7946778711484594,0.7485714285714287
Salmon,Crescent City,2020,0.0273922149319692,0.0256158584378303,-0.7071067811865475,0.0647506505632411,NA,-0.7071067811865475,0.08543817034805115,0,135832,150199.2285,25901,22531.942000000003,0.49796237058500814,83391.63069546626,0.6343904556171622,0.7399205722501505,14660.582857142857,0.518146300742082,0.733333333333333,0.3689368049749844,0.6686274509803921,0.6266666666666665
