"","25","30","1","3","55","80"
"25",0.690909090909091,0.272727272727273,0.127272727272727,0,0,0
"30",0,0.5,0.109090909090909,0,0,0
"1",0,0,0.209090909090909,0.0363636363636364,0,0
"3",0,0,0,0.0363636363636364,0,0
"55",0,0,0,0,0.0454545454545455,0
"80",0,0,0,0,0,0.0272727272727273
