"","25","1","3","45","80","35","70","55","21"
"25",0.75,0.135714285714286,0.128571428571429,0,0.0285714285714286,0.0785714285714286,0,0.0142857142857143,0.0214285714285714
"1",0,0.221428571428571,0.178571428571429,0,0.0142857142857143,0.0428571428571429,0,0.0142857142857143,0.0214285714285714
"3",0,0,0.235714285714286,0,0.0142857142857143,0.0357142857142857,0,0.0285714285714286,0.0214285714285714
"45",0,0,0,0.00714285714285714,0,0,0,0,0
"80",0,0,0,0,0.05,0,0,0,0.00714285714285714
"35",0,0,0,0,0,0.157142857142857,0,0.00714285714285714,0
"70",0,0,0,0,0,0,0.0214285714285714,0,0
"55",0,0,0,0,0,0,0,0.05,0.00714285714285714
"21",0,0,0,0,0,0,0,0,0.0285714285714286
