"","25","1","3","45","80","35","70","55","21"
"25",86.25,18.1857142857143,18.3857142857143,0,3.6,10.2142857142857,0,1.81428571428571,2.48571428571429
"1",0,9.74285714285714,10.1785714285714,0,0.757142857142857,2.74285714285714,0,0.757142857142857,0.964285714285714
"3",0,0,11.7857142857143,0,0.8,2.5,0,1.51428571428571,1.09285714285714
"45",0,0,0,0.0357142857142857,0,0,0,0,0
"80",0,0,0,0,1.1,0,0,0,0.164285714285714
"35",0,0,0,0,0,4.55714285714286,0,0.321428571428571,0
"70",0,0,0,0,0,0,0.0642857142857143,0,0
"55",0,0,0,0,0,0,0,0.9,0.15
"21",0,0,0,0,0,0,0,0,0.114285714285714
