"","35","80","70","65","45","20","55","1","3","19","60"
"35",0.229813664596273,0.111801242236025,0.0683229813664596,0,0.0745341614906832,0,0.031055900621118,0.0186335403726708,0.031055900621118,0,0
"80",0,0.298136645962733,0.0248447204968944,0.0745341614906832,0,0,0.0745341614906832,0.0248447204968944,0.0496894409937888,0,0
"70",0,0,0.186335403726708,0,0.118012422360248,0,0,0,0,0,0
"65",0,0,0,0.304347826086957,0,0,0.0496894409937888,0,0,0,0
"45",0,0,0,0,0.173913043478261,0,0,0,0,0,0
"20",0,0,0,0,0,0.0496894409937888,0.0186335403726708,0,0,0,0
"55",0,0,0,0,0,0,0.130434782608696,0,0.031055900621118,0,0
"1",0,0,0,0,0,0,0,0.0434782608695652,0.0372670807453416,0,0
"3",0,0,0,0,0,0,0,0,0.0807453416149068,0,0
"19",0,0,0,0,0,0,0,0,0,0,0
"60",0,0,0,0,0,0,0,0,0,0,0.15527950310559
