crab_year,IOPAC,species_group_2_label2,SPGRPN2,num_vessels,total_rev,total_pounds
2019,Bodega Bay,Salmon,30,200,4423777.636964795,665035.81
2019,Bodega Bay,Tuna,35,8,22105.575,7156.3
2020,Bodega Bay,CA halibut/croaker,55,15,46568.4525,6896.63
2020,Bodega Bay,Coastal pelagics,45,4,570.5,226
2020,Bodega Bay,Crab,25,47,3548788.555,612085.01
2020,Bodega Bay,DTS groundfish,1,16,104247.315,28228.31
2020,Bodega Bay,Non-DTS groundfish,3,6,2841.25,1484.6
2020,Bodega Bay,Other,80,8,58748.4,64125.1
2020,Bodega Bay,Salmon,30,199,4480167.295568627,649973.03
2021,Bodega Bay,CA halibut/croaker,55,15,61164.5225,8910.86
2021,Bodega Bay,Crab,25,46,3931516.06,695012.84
2021,Bodega Bay,DTS groundfish,1,18,111331.1375,31516.73
2021,Bodega Bay,Non-DTS groundfish,3,19,53563.6665,27334.63
2021,Bodega Bay,Other,80,7,297757.85,297189.9
2021,Bodega Bay,Salmon,30,200,3948274.90525,648164.49
2021,Bodega Bay,Tuna,35,7,5109.2,4603.2
2022,Bodega Bay,CA halibut/croaker,55,17,71767.965,12214.91
2022,Bodega Bay,Crab,25,31,3086117.9375,1101681.73
2022,Bodega Bay,DTS groundfish,1,20,119976.85,49681.05
2022,Bodega Bay,Non-DTS groundfish,3,17,79556.9325,67092.56
2022,Bodega Bay,Other,80,4,372181.25,361813
2022,Bodega Bay,Tuna,35,10,15025.925,4924.59
2017,Brookings,Crab,25,37,5274423.224032258,1723850
2017,Brookings,DTS groundfish,1,25,836030.2783086417,692446.83220098
2017,Brookings,Non-DTS groundfish,3,39,236993.62343085808,122212.16779902
2017,Brookings,Other,80,9,636.4,987
2017,Brookings,Pacific halibut,50,9,116234.28,20558
2017,Brookings,Pink shrimp,21,5,1999572.624,2693766
2017,Brookings,Salmon,30,78,566918.75,58600
2017,Brookings,Skate/dogfish/shark,19,14,7769.166783974253,25609
2017,Brookings,Tuna,35,14,167693.2,100077
2017,Brookings,Whiting,2,4,15.20049,42
2018,Brookings,Crab,25,33,3969549.365891723,1105917
2018,Brookings,DTS groundfish,1,16,567860.0123849948,488694.16399875
2018,Brookings,Non-DTS groundfish,3,37,285855.5633013274,133652.83600125
2018,Brookings,Other,80,11,884.4,1169
2018,Brookings,Pacific halibut,50,13,127020.83545454545,22759
2018,Brookings,Pink shrimp,21,8,685746.836,1009478
2018,Brookings,Salmon,30,51,249674.95,35248
2018,Brookings,Skate/dogfish/shark,19,12,7176.750499500934,19537
2018,Brookings,Tuna,35,20,194623.752,117306
2018,Brookings,Whiting,2,4,27.60900166666667,58
2019,Brookings,Crab,25,33,3545247.0156479958,1056305
2019,Brookings,DTS groundfish,1,14,256995.11058207994,260924
2019,Brookings,Non-DTS groundfish,3,30,256670.49095076846,124259
2019,Brookings,Other,80,12,791.4277777777778,924
2019,Brookings,Pacific halibut,50,10,167702.4,31341
2019,Brookings,Pink shrimp,21,6,1427390.997,2597081
2019,Brookings,Salmon,30,38,211780.9488,23491
2019,Brookings,Skate/dogfish/shark,19,11,5497.2301,13401
2019,Brookings,Tuna,35,10,72466.15,42697
2020,Brookings,Crab,25,22,853041.1857211366,187991
2020,Brookings,DTS groundfish,1,15,317975.0219916101,356872
2020,Brookings,Non-DTS groundfish,3,36,246176.1849775103,113336
2020,Brookings,Other,80,8,350.96449333333334,703.5532
2020,Brookings,Pacific halibut,50,10,152513.6,21919
2020,Brookings,Pink shrimp,21,4,916105.972,1732292
2020,Brookings,Salmon,30,42,245974.12944436364,21546
2020,Brookings,Skate/dogfish/shark,19,10,8189.078018658878,13109.4468
2020,Brookings,Tuna,35,10,89058.6,42057
2021,Brookings,Crab,25,30,5679171.918447812,1086261
2021,Brookings,DTS groundfish,1,18,671266.5271567175,383044
2021,Brookings,Non-DTS groundfish,3,31,338946.53151839116,144152
2021,Brookings,Other,80,6,428.7863636363636,417
2021,Brookings,Pacific halibut,50,10,123520.65,17747
2021,Brookings,Pink shrimp,21,3,390383.39,856293
2021,Brookings,Salmon,30,39,223886.91063409092,21692
2021,Brookings,Skate/dogfish/shark,19,12,3834.451144178571,11281
2021,Brookings,Tuna,35,14,141218.75,62694
2021,Brookings,Whiting,2,5,25.70386,81
2022,Brookings,Crab,25,32,6206303.696472555,2625472
2022,Brookings,DTS groundfish,1,18,440387.5101190476,266696
2022,Brookings,Non-DTS groundfish,3,31,216202.0088095238,95821
2022,Brookings,Other,80,4,772.5,561
2022,Brookings,Pacific halibut,50,6,88472.25,15098
2022,Brookings,Pink shrimp,21,3,437817.89400000003,1069717
2022,Brookings,Salmon,30,18,134471.5,15198
2022,Brookings,Skate/dogfish/shark,19,7,3161.15,13057
2022,Brookings,Tuna,35,4,41693.5,23567
2017,Columbia River,Other,80,93,62446.85,24379
2017,Columbia River,Salmon,30,131,1870580.98,326265
2018,Columbia River,Other,80,91,95726.05,32675
2018,Columbia River,Salmon,30,132,851421.5495993837,249797
2019,Columbia River,Other,80,83,92419.6,30370
2019,Columbia River,Salmon,30,123,1456105.03,624958
2020,Columbia River,Other,80,105,103219.75,37419
2020,Columbia River,Salmon,30,135,2610791.902,1029471
2021,Columbia River,Other,80,93,91977.6,42819
2021,Columbia River,Salmon,30,137,2637515.12,1016999
2022,Columbia River,Other,80,5,8260,10105
2022,Columbia River,Salmon,30,151,3182446.5985,1056677
2017,Coos Bay,Crab,25,38,4681369.02,1333881
2017,Coos Bay,DTS groundfish,1,25,1240074.4497559362,431298.92944832
2017,Coos Bay,Non-DTS groundfish,3,49,120253.21822707189,143485.07055168
2017,Coos Bay,Other,80,7,668.3075541111111,512.6163
2017,Coos Bay,Pacific halibut,50,16,223904.502,35636
2017,Coos Bay,Pink shrimp,21,3,704444.013,941238
2017,Coos Bay,Salmon,30,66,713002.4,86840
2017,Coos Bay,Skate/dogfish/shark,19,15,8381.277246699134,24174.3837
2017,Coos Bay,Squid,70,6,1721467.0015,3728714
2017,Coos Bay,Tuna,35,66,1716234.4043333333,1024959
2018,Coos Bay,Crab,25,33,5273887.582700348,1367402
2018,Coos Bay,DTS groundfish,1,23,769331.8424580101,309267.9374
2018,Coos Bay,Non-DTS groundfish,3,43,185991.99420510847,183349.0626
2018,Coos Bay,Other,80,9,20350.25555576329,17879
2018,Coos Bay,Pacific halibut,50,25,156008.74615384615,28307
2018,Coos Bay,Pink shrimp,21,5,460860.418,634991
2018,Coos Bay,Salmon,30,55,411215.0055555556,63198
2018,Coos Bay,Skate/dogfish/shark,19,14,7688.645571166667,25857
2018,Coos Bay,Squid,70,11,1597802.669,2847940
2018,Coos Bay,Tuna,35,85,2282980.61,1399096
2019,Coos Bay,Coastal pelagics,45,3,5.5566666666666675,4
2019,Coos Bay,Crab,25,41,4404313.319083338,1171040
2019,Coos Bay,DTS groundfish,1,17,408810.2763399454,467562.5048
2019,Coos Bay,Herring,40,3,66.50562500000001,102
2019,Coos Bay,Non-DTS groundfish,3,39,229959.26456558442,328111.4952
2019,Coos Bay,Other,80,7,448.6780971794872,284
2019,Coos Bay,Pacific halibut,50,12,36250.5,7232
2019,Coos Bay,Pink shrimp,21,4,234544.728,431346
2019,Coos Bay,Salmon,30,53,198760.84304403004,24246
2019,Coos Bay,Skate/dogfish/shark,19,10,8243.574200749968,28586
2019,Coos Bay,Squid,70,16,2248439.596,3921884
2019,Coos Bay,Tuna,35,50,1278432.36,788490
2019,Coos Bay,Whiting,2,5,305.4063242661887,134
2020,Coos Bay,Crab,25,39,5317065.671921659,1041855
2020,Coos Bay,DTS groundfish,1,15,796652.0065915701,579803.97758236
2020,Coos Bay,Non-DTS groundfish,3,29,218133.05578136677,288485.02241764
2020,Coos Bay,Other,80,8,4332.001283942274,1590.987
2020,Coos Bay,Pacific halibut,50,12,105911.25,14871
2020,Coos Bay,Pink shrimp,21,4,786202.15,1487039
2020,Coos Bay,Salmon,30,50,402278.15,38686
2020,Coos Bay,Skate/dogfish/shark,19,7,7693.531028141599,28921.013
2020,Coos Bay,Squid,70,10,1654788.257,2897145
2020,Coos Bay,Tuna,35,50,1378207.471,706528
2021,Coos Bay,Crab,25,31,6791596.950252801,1256647
2021,Coos Bay,DTS groundfish,1,26,1272587.6200922285,497335.27828707
2021,Coos Bay,Non-DTS groundfish,3,33,153513.4720167881,136906.72171293
2021,Coos Bay,Other,80,10,597.61,410
2021,Coos Bay,Pacific halibut,50,23,349359.526,51449
2021,Coos Bay,Salmon,30,47,555097.4266666666,66278
2021,Coos Bay,Skate/dogfish/shark,19,10,4634.865418015389,17586
2021,Coos Bay,Squid,70,9,1503283.029,2378826
2021,Coos Bay,Tuna,35,43,2266627.306,994772
2022,Coos Bay,Crab,25,32,7107604.536233279,2494629
2022,Coos Bay,DTS groundfish,1,22,694970.4381065317,525868.756
2022,Coos Bay,Non-DTS groundfish,3,27,199836.79686931625,261388.244
2022,Coos Bay,Other,80,5,1482.2533846153851,999
2022,Coos Bay,Pacific halibut,50,17,318164.75,56038
2022,Coos Bay,Salmon,30,8,5641.559090909091,1268
2022,Coos Bay,Skate/dogfish/shark,19,10,17428.845716893862,69812
2022,Coos Bay,Tuna,35,37,743502.607,469849
2017,Crescent City,Crab,25,66,11479774.485,3763651.7
2017,Crescent City,DTS groundfish,1,4,55717.4,20123
