SPGRPN2,species_group_2_label,
1,DTS Groundfish,g
2,WHITING,
3,Non DTS Groundfish,g
19,"SKATE,DOGFISH,SHARK",g
20,"PRAWNS,SHRIMP",shrimp
21,PINK SHRIMP,shrimp
25,WOC_CRAB,
30,SALMON,1
35,TUNA,2
40,HERRING,3
45,CPEL,3
50,PHALIBUT,g
55,"CHALIBUT,CROAKER",g
60,ECHINODERMS,s
65,SHELLFISH,s
70,SQUID,
80,OTHER,o
100,OTHR,
110,PCOD,
118,FLAT,
139,ROCK,
193,AMCK,
200,HLBT,
230,HERR,
270,PLCK,
400,SALM,
710,SABL,
800,OSPC,
815,SHEL,
900,CRAB,
