SPID,PACFIN_SPECIES_COMMON_NAME,SPGRPN2
BLUR,BLUE ROCKFISH,3
VRML,VERMILION ROCKFISH,3
VRM1,NOM. VERMILLION ROCKFISH,3
BGL1,NOM. BLACKGILL ROCKFISH,3
BLCK,BLACK ROCKFISH,3
UTRB,UNSP. TURBOTS,3
BLGL,BLACKGILL ROCKFISH,3
BLK1,NOM. BLACK ROCKFISH,3
BLU1,NOM. BLUE ROCKFISH,3
USLP,UNSP. SLOPE ROCKFISH,3
TGR1,NOM. TIGER ROCKFISH,3
BANK,BANK ROCKFISH,3
SFL1,NOM. STARRY FLOUNDER,3
SNS1,NOM. SPLITNOSE ROCKFISH,3
SQR1,NOM. SQUARESPOT,3
CBZ1,NOM. CABEZON,3
CHNA,CHINA ROCKFISH,3
SCOR,CALIFORNIA SCORPIONFISH,3
SCR1,NOM. CALIFORNIA SCORPIONFISH,3
SPKL,SPECKLED ROCKFISH,3
SRK1,NOM. SHORTRAKER ROCKFISH,3
SDB1,NOM. SPECKLED SANDDAB,3
SQRS,SQUARESPOT ROCKFISH,3
TRE1,NOM. TREEFISH,3
SNOS,SPLITNOSE ROCKFISH,3
BYL1,NOM. BLACK-AND-YELLOW ROCKFISH,3
SLNS,SLENDER SOLE,3
SLGR,SILVERGRAY ROCKFISH,3
CHN1,NOM. CHINA ROCKFISH,3
CBZN,CABEZON,3
SHRP,SHARPCHIN ROCKFISH,3
SPK1,NOM. SPECKLED ROCKFISH,3
STL1,NOM. STRIPETAIL ROCKFISH,3
SSO1,NOM. SAND SOLE,3
SSOL,SAND SOLE,3
CLC1,NOM. CALICO ROCKFISH,3
SBL1,NOM. SHORTBELLY ROCKFISH,3
SRKR,SHORTRAKER ROCKFISH,3
BYEL,BLACK AND YELLOW ROCKFISH,3
STAR,STARRY ROCKFISH,3
SBLY,SHORTBELLY ROCKFISH,3
RSTN,ROSETHORN ROCKFISH,3
LSKT,LONGNOSE SKATE,19
RATF,SPOTTED RATFISH,19
RTSK,ROUGHTAIL SKATE,19
SSRK,SOUPFIN SHARK,19
BLSK,BLACK SKATE,19
LSRK,LEOPARD SHARK,19
CSKT,CALIFORNIA SKATE,19
CSRK,BROWN CAT SHARK,19
GRDR,UNSP. GRENADIERS,19
SSKT,STARRY SKATE,19
SPSK,SANDPAPER SKATE,19
DSRK,SPINY DOGFISH,19
BSKT,BIG SKATE,19
BSK1,NOM. BIG SKATE,19
OGRN,OTHER GROUNDFISH,19
ASKT,ALEUTIAN SKATE,19
RPRW,RIDGEBACK PRAWN,20
OSRM,OTHER SHRIMP,20
GSRM,GHOST SHRIMP,20
GPRW,GOLDEN PRAWN,20
USRM,UNSP. OCEAN SHRIMP,20
MSRM,BLUE MUD SHRIMP,20
BSRM,UNSP. BAIT SHRIMP,20
SPRW,SPOTTED PRAWN,20
PSHP,PACIFIC PINK SHRIMP,21
DCRB,DUNGENESS CRAB,25
UKCR,UNSP. KING CRAB,25
OCRB,OTHER CRAB,25
UCRB,UNSP. CRAB,25
RCRB,ROCK CRAB,25
BTCR,BAIRDI TANNER CRAB,25
SKCR,SCARLET KING CRAB,25
UTCR,UNSP. TANNER CRAB,25
SOCK,SOCKEYE SALMON,30
PINK,PINK SALMON,30
STLH,STEELHEAD,30
CHNK,CHINOOK SALMON,30
USMN,UNSP. SALMON,30
CHUM,CHUM SALMON,30
COHO,COHO SALMON,30
ALBC,ALBACORE,35
ETNA,BIGEYE TUNA,35
BTNA,BLUEFIN TUNA,35
BSJK,BLACK SKIPJACK,35
UTNA,UNSP. TUNA,35
YTNA,YELLOWFIN TUNA,35
YLTL,YELLOWTAIL,35
MRLN,STRIPED MARLIN,35
STNA,SKIPJACK TUNA,35
OTNA,OTHER TUNA,35
RHRG,ROUND HERRING,40
PHRG,PACIFIC HERRING,40
PSDN,PACIFIC SARDINE,45
JMCK,JACK MACKEREL,45
