"","30","25","21","1","3","35","2","60","70","65"
"30",132.916886543536,49.0501319261214,0.602902374670185,22.4274406332454,40.6332453825857,52.3905013192612,4.45382585751979,0,0,0
"25",0,155.108179419525,23.9960422163588,57.8997361477573,56.622691292876,65.6688654353562,4.1688654353562,0,2.55277044854881,0.986807387862797
"21",0,0,6.46437994722955,7.34036939313984,11.4063324538259,1.35751978891821,0.854881266490765,0,0,0
"1",0,0,0,35.1926121372032,47.1490765171504,22.6912928759894,5.86543535620053,0,0,0
"3",0,0,0,0,88.6068601583113,24.0751978891821,15.6094986807388,0,0,0.473614775725594
"35",0,0,0,0,0,88.844327176781,0.437994722955145,0,0,0
"2",0,0,0,0,0,0,2.72427440633245,0,0,0
"60",0,0,0,0,0,0,0,0.00659630606860158,0,0
"70",0,0,0,0,0,0,0,0,0.554089709762533,0
"65",0,0,0,0,0,0,0,0,0,0.142480211081794
