"1","3","80","45","25","35","70","55","20"
2184099.15103115,237685.574307895,38.3216156248921,0,78536.5253318568,5182.22625786852,0,4863.6197543416,77241.1997041596
0,1042016.93367921,102.966194298741,29.4074665073177,35386.7506267351,415.57815498136,0,7727.43967118608,3149.34388949738
0,0,9866.460252264,7455.82056960496,0,273.792688374262,2823.62647346486,5793.160125833,0
0,0,0,715683.182301136,0,0,50560.7378371699,21855.4104854343,0
0,0,0,0,912599.828945833,16635.8762864819,0,22405.7866213156,7265.59127744392
0,0,0,0,0,72763.1967169032,0,14288.9909090081,0
0,0,0,0,0,0,728639.910864747,0,0
0,0,0,0,0,0,0,1031448.62572827,0
0,0,0,0,0,0,0,0,1030123.09916171
