"25","60","30","50","80","1","35","20","21"
5128710.12508787,0,16024.6531437184,550.110771326258,0,0,897.964041940771,18888.5177411359,37450.8533637119
0,558404.177164071,0,0,0,0,0,0,0
0,0,1303890.49566292,106033.462470596,3030.69742569472,57691.0489148335,6545.58163790627,658.942762546423,0
0,0,0,23341.6289121105,0,51024.032362044,670.125182086745,13.9497307363105,0
0,0,0,0,252113.607964561,0,0,0,0
0,0,0,0,0,1395404.34097315,1.63677656604162,3.24135793656233,0
0,0,0,0,0,0,68978.9805930139,0.109139103390209,0
0,0,0,0,0,0,0,73976.5436099079,2029.79471695317
0,0,0,0,0,0,0,0,12545.9143528509
