Year,% of Landings Receipts,% of Landings,% of Revenue
2003,NA,NA,NA
2004,NA,NA,NA
2005,NA,NA,NA
2006,NA,NA,NA
2007,NA,NA,NA
2008,NA,NA,NA
2009,NA,NA,NA
2010,0.0%,0.2%,0.0%
2011,0.2%,0.4%,0.0%
2012,NA,NA,NA
2013,NA,NA,NA
2014,0.1%,0.0%,0.1%
2015,0.7%,3.9%,0.3%
2016,17.9%,50.6%,4.3%
2017,19.1%,50.3%,4.3%
2018,25.5%,63.0%,NA
2019,23.5%,72.8%,NA
2020,25.2%,71.6%,NA
2021,20.1%,66.5%,NA
2022,24.6%,72.3%,NA
2023,28.9%,74.5%,NA
2024,59.0%,65.3%,NA
