"25","60","30","50","80","1","35","20","21"
3786474.55801889,0,12477.9185971774,0,0,0,699.217768898885,13223.3779801139,29161.8605080638
0,284620,0,0,0,0,0,0,0
0,0,1006778.35262502,82661.7716717281,2359.91353019193,44526.1162891482,4816.63982133672,521.797364943467,0
0,0,0,18183.1349631391,0,39699.9594007122,516.078922435805,11.0463808901231,0
0,0,0,0,117667.25624014,0,0,0,0
0,0,0,0,0,1068518.8786177,0,1.849069659849,0
0,0,0,0,0,0,53711.8380170958,0,0
0,0,0,0,0,0,0,59755.6238737889,1580.54049719326
0,0,0,0,0,0,0,0,9769.12864309942
