"35","70","1","25","30","55","20","3","19","21","40"
241171.66856464,0,0,0,6139.41869774298,0,0,0,0,0,0
0,11680405.6249377,0,265383.03254989,0,0,0,0,0,0,0
0,0,488592.224472208,308681.568326442,26154.2805199229,16580.1666015884,0,18470.8144280631,200.961671952856,0,0
0,0,0,34063294.0384889,643505.34703797,80630.1939854712,247234.206693943,115867.114544314,506.902396272394,68093.5270601658,28001.6452150745
0,0,0,0,2075156.48277087,33389.5237278937,2070.2489323408,627.953210610995,0,0,1929.49923646857
0,0,0,0,0,2915262.31749328,0,31402.6251926331,110.941666905458,0,0
0,0,0,0,0,0,843790.65299839,0,0,0,0
0,0,0,0,0,0,0,193422.162898404,136.614468097771,0,0
0,0,0,0,0,0,0,0,691.330626169091,0,0
0,0,0,0,0,0,0,0,0,283947.801957516,0
0,0,0,0,0,0,0,0,0,0,452737.674165854
