"","30","21","25","1","3","50","35","80","70"
"30",0.28169014084507,0,0.0704225352112676,0.0516431924882629,0.0375586854460094,0.0704225352112676,0.187793427230047,0,0
"21",0,0.154929577464789,0.0704225352112676,0.0422535211267606,0.0328638497652582,0,0.00938967136150235,0,0
"25",0,0,0.375586854460094,0.103286384976526,0.0516431924882629,0.0704225352112676,0.126760563380282,0,0.00469483568075117
"1",0,0,0,0.197183098591549,0.0751173708920188,0.0845070422535211,0.0657276995305164,0,0
"3",0,0,0,0,0.136150234741784,0.0328638497652582,0.0328638497652582,0,0
"50",0,0,0,0,0,0.131455399061033,0.0516431924882629,0,0
"35",0,0,0,0,0,0,0.497652582159624,0.0140845070422535,0
"80",0,0,0,0,0,0,0,0.028169014084507,0
"70",0,0,0,0,0,0,0,0,0.0328638497652582
