"40","1","25","3","30","55","19","45","20","70"
1486223.58198865,0,0,0,43644.5386843967,0,0,0,0,0
0,1165148.40365576,743.36477792396,133569.437610085,32726.6725558341,54517.7435781001,44.5364419371715,0,0,2076.8191826956
0,0,30065.145768618,0,12227.4792290292,0,0,0,0,0
0,0,0,698646.199551863,7852.87578409263,81849.5363509587,706.299227471313,0,0,0
0,0,0,0,24004841.7863893,44083.1618356127,0,5622.43182632624,0,26131.6652733878
0,0,0,0,0,2874738.20794123,3744.66697019351,0,0,0
0,0,0,0,0,0,280.128187850445,0,0,0
0,0,0,0,0,0,0,5026.26879207577,0,23754.7088824478
0,0,0,0,0,0,0,0,125741.891847322,0
0,0,0,0,0,0,0,0,0,89870.7557212394
