"1","3","55","80","30","25","21","35","20","70"
4036843.95679873,255165.908673598,1424.1635837372,7552.7402678037,10673.8965784315,136266.565933896,0,0,0,0
0,2814458.99745705,23726.8834903614,15642.7324068458,39907.1551489818,17528.8235020054,0,0,13751.9692044525,0
0,0,93727.9947585722,6529.2487014162,21767.5032188506,0,0,0,0,0
0,0,0,1598332.78422738,23814.479593047,86465.4516793134,0,812.165076229195,0,0
0,0,0,0,354548.03000579,274.281607247329,0,0,0,0
0,0,0,0,0,6854769.54592447,0,0,0,0
0,0,0,0,0,0,1809722.44080265,0,0,0
0,0,0,0,0,0,0,49994.5602386947,0,0
0,0,0,0,0,0,0,0,689728.034249748,0
0,0,0,0,0,0,0,0,0,1823591.94750263
