"21","25","35","1","3","30","80","70","60"
3785807.1551842,1522940.34431644,2725.72255448943,204086.119450411,156650.305493983,0,148.210938590355,15713.0842089865,0
0,31266245.3297934,705935.915205087,1129885.27018606,227899.682421675,63019.7060901997,188.189822349542,357389.870669696,0
0,0,6829555.82795977,39950.7739539633,14987.3968921303,139561.328620894,0.0265562199554443,0,0
0,0,0,623377.864392289,184952.049450338,7877.93037776185,285.021592338833,0,0
0,0,0,0,265055.530019147,10058.5235737395,99.8684766025092,480.784468306947,0
0,0,0,0,0,323036.51153445,0,0,0
0,0,0,0,0,0,1946687.5166012,0,0
0,0,0,0,0,0,0,3189420.86344686,1025.51517152165
0,0,0,0,0,0,0,0,42096.5387722087
