"65","1","3","55","20","25","35","30","60","70"
20430053.2739323,21914.4277757017,109893.730512311,48593.2985137359,74457.6189042888,445672.791680003,425.123123850332,0,164126.109677718,0
0,2202539.83648682,11196.0008312688,1.50599667395095,4399.70012960671,69487.1424058629,0,0,0,0
0,0,476803.944943772,19062.5635919646,4955.13219201662,41292.4912461408,0,0,3436.15083724312,0
0,0,0,1698270.14947028,20701.2291812997,32576.7825335724,813.920295016705,0,23096.3728402027,0
0,0,0,0,6049705.92775411,45574.1916958864,999.773772240329,0,7709.27277394744,0
0,0,0,0,0,1533670.75343593,0,0,27818.2370875316,0
0,0,0,0,0,0,5304.66165825187,0,7235.94361145802,0
0,0,0,0,0,0,0,42830.0933573888,0,0
0,0,0,0,0,0,0,0,9112475.12190606,0
0,0,0,0,0,0,0,0,0,15555892.659562
