"","1","25","3","60"
"1",26.9879518072289,13,7.46987951807229,0
"25",0,15.5421686746988,4.03614457831325,0.759036144578313
"3",0,0,8.01204819277108,0.650602409638554
"60",0,0,0,4.80722891566265
