"","35","80","60","65","1","3","45","55","20"
"35",0.385245901639344,0.295081967213115,0,0.0655737704918033,0,0,0,0.0819672131147541,0
"80",0,0.459016393442623,0,0.10655737704918,0,0.0327868852459016,0.0491803278688525,0.122950819672131,0
"60",0,0,0.0655737704918033,0,0,0,0,0,0
"65",0,0,0,0.426229508196721,0,0.040983606557377,0.0245901639344262,0.0901639344262295,0
"1",0,0,0,0,0.0655737704918033,0,0,0,0
"3",0,0,0,0,0,0.0819672131147541,0.0327868852459016,0.040983606557377,0
"45",0,0,0,0,0,0,0.0737704918032787,0.0245901639344262,0
"55",0,0,0,0,0,0,0,0.163934426229508,0
"20",0,0,0,0,0,0,0,0,0.0327868852459016
