"70","45","55","35","65","80","20","1","60"
19695948.071115,3187725.88601896,5679.73881115916,9963.28034397009,0,4392.565265148,0,0,0
0,2499033.21022681,5369.03365942908,54448.0957863476,4628.20269891528,285.528671375157,0,0,0
0,0,239712.589529904,1336.68769853492,96148.7624021331,32312.3458674728,2393.72097675559,1530.2691240506,0
0,0,0,1068721.30796403,0,13282.720165151,0,0,0
0,0,0,0,4028263.62801526,51716.0169187652,110777.854079843,0,0
0,0,0,0,0,1772249.63096116,2056.38465322692,1734.2838417523,2857.8292923222
0,0,0,0,0,0,1777439.90341286,0,0
0,0,0,0,0,0,0,1297363.31283329,0
0,0,0,0,0,0,0,0,2134593.71275548
