"30","25","35","19","20","60","1","3","21","45","40"
5937471.33877084,131686.594704867,0,1353.28052295948,0,0,0,0,20165.4902349963,0,0
0,16759232.8461811,22341.9807105968,34.8351187141742,312728.00779026,19244.4116237454,56555.2186709597,101.333990301586,17281.9304735738,0,0
0,0,3542178.2643877,0,0,0,0,0,0,0,0
0,0,0,333796.612999881,0,0,126290.247061969,80917.1173714213,0,0,0
0,0,0,0,908355.199787455,701.186471884808,0,0,5724.80189547105,0,0
0,0,0,0,0,3203866.78369417,0,0,0,0,0
0,0,0,0,0,0,5038690.08136498,758770.354842673,0,0,0
0,0,0,0,0,0,0,2660265.06821583,0,0,0
0,0,0,0,0,0,0,0,57859.7447690288,0,0
0,0,0,0,0,0,0,0,0,397668.538351037,0
0,0,0,0,0,0,0,0,0,0,722398.41919205
