"30","45","70","25","1","3","55","80","20"
1896000.62452242,0,0,66526.0687113285,20971.7692017442,15006.5060982843,28946.5456801269,12943.5201264817,0
0,482474.831823996,1167826.79543688,0,0,0,678.788073551949,245.691490146032,942.535855859817
0,0,17167146.8812843,0,0,0,0,3157.02424951825,0
0,0,0,1802302.78985246,21249.9588397195,13526.8677037463,17366.8495039051,29167.6133490399,952.60198865089
0,0,0,0,984929.882333885,109821.082731261,3938.95204073872,8944.21678512493,0
0,0,0,0,0,474924.029215817,2717.76432155023,712.752894672255,0
0,0,0,0,0,0,135805.994702823,10920.9869017074,0
0,0,0,0,0,0,0,100297.263070241,0
0,0,0,0,0,0,0,0,1228492.46328048
