"30","25","35","60","80","50","1","21","20"
13671297.0971573,928338.102864436,2745.89362327186,0,10111.7994029105,23920.3158162614,1647.46840774555,0,7154.86140253907
0,85481137.5758541,51598.3002851225,2336.5501096182,0,0,0,18594.7288382051,120009.003504147
0,0,1468167.83636014,0,0,1324.77379225619,0,0,0
0,0,0,2130323.24495142,0,0,0,0,26698.8649147895
0,0,0,0,203006.680200854,0,0,0,0
0,0,0,0,0,2591.78105476258,262.029492374979,0,0
0,0,0,0,0,0,173.027424928822,0,0
0,0,0,0,0,0,0,264734.208683365,5183.38849671585
0,0,0,0,0,0,0,0,6269799.26084995
