"","3","80","20","1","25","45","55","70","35"
"3",0.247058823529412,0,0,0.0823529411764706,0.0352941176470588,0,0.0352941176470588,0,0
"80",0,0.152941176470588,0,0,0,0,0.0588235294117647,0,0.0352941176470588
"20",0,0,0.0588235294117647,0.0470588235294118,0,0,0,0,0
"1",0,0,0,0.364705882352941,0.0823529411764706,0,0,0,0
"25",0,0,0,0,0.211764705882353,0,0,0,0
"45",0,0,0,0,0,0.176470588235294,0,0.129411764705882,0
"55",0,0,0,0,0,0,0.0705882352941176,0,0
"70",0,0,0,0,0,0,0,0.164705882352941,0
"35",0,0,0,0,0,0,0,0,0.117647058823529
