"","30","55","70","1","3","45","25","80","35","20","2"
"30",134.010152284264,20.0253807106599,0,14.6852791878173,11.9238578680203,0,22.0304568527919,1.14213197969543,12.1725888324873,2.0507614213198,0
"55",0,13.3604060913706,0,8.26395939086294,8.26395939086294,0,2.51776649746193,1.64467005076142,1.82741116751269,0,0
"70",0,0,3.03553299492386,0.588832487309645,0.583756345177665,0.791878172588833,0,0,0,0,0
"1",0,0,0,15.8781725888325,9.17766497461929,0,3.53299492385787,1.0761421319797,0.614213197969543,0,0.467005076142132
"3",0,0,0,0,12.6091370558376,0,1.17766497461929,0.532994923857868,0,0,0.467005076142132
"45",0,0,0,0,0,0.213197969543147,0,0,0,0,0
"25",0,0,0,0,0,0,5.4010152284264,0,0.690355329949239,0,0
"80",0,0,0,0,0,0,0,1.17258883248731,0.629441624365482,0.17258883248731,0
"35",0,0,0,0,0,0,0,0,3.01522842639594,0,0
"20",0,0,0,0,0,0,0,0,0,0.0406091370558376,0
"2",0,0,0,0,0,0,0,0,0,0,0.0253807106598985
