"30","25","35","19","20","1","80","21","60","40"
4303181.34143447,64757.0879227073,0,0,6263.38923971278,0,0,0,0,0
0,4135194.86062784,0,0,46803.3276346467,0,0,19369.9438029555,13098.916593589,0
0,0,6352782.82591752,0,0,0,0,0,0,0
0,0,0,33523.1725109083,0,51488.9523405303,28.0094273766052,0,0,0
0,0,0,0,1073701.58794151,0,0,14156.4646158865,0,0
0,0,0,0,0,4002332.10581348,3024.85702442585,0,0,0
0,0,0,0,0,0,112006.767812692,0,0,0
0,0,0,0,0,0,0,46107.4210927417,0,0
0,0,0,0,0,0,0,0,1513913.78789965,0
0,0,0,0,0,0,0,0,0,130355.543988871
