"y","N","E","avg_ew","sd_ew","med_ew","max_ew","avg_ew_scaled","sd_ew_scaled","med_ew_scaled","deg_max","deg_min","strength_mean","assort","ed","ld","mean_deg","nc","nc_weighted","m","m_weighted","beta_eff","state"
2004,13,61,11.7228564071753,23.1356679616377,2.29319371727749,151.966342557966,0.0163934426229508,0.0323533132283872,0.00320684126135756,1,0.333333333333333,0.153846153846154,-0.398436111604756,0.782051282051282,4.69230769230769,9.38461538461539,0.257575757575758,0.204825515924811,0.00201558720773984,0.0799417424573092,57.3823026581359,"C"
2004,10,26,25.7200284315274,40.8758211819292,7.02515400410678,165.009240246407,0.0384615384615385,0.0611253977701134,0.0105053628399562,0.888888888888889,0.111111111111111,0.2,-0.00062073246430791,0.577777777777778,2.6,5.2,0.388888888888889,0.265084384082855,-0.0458579881656804,0.0515944236858642,90.6823499835891,"O"
2004,12,33,7.43519368771894,11.4320369211431,0.906846240179573,43.665544332211,0.0303030303030303,0.0465926478578452,0.00369596143026389,0.909090909090909,0,0.166666666666667,-0.304739884393066,0.5,2.75,5.5,0.490909090909091,0.220950337805386,0,-4.44089209850063e-16,25.0126064163543,"W"
2005,13,58,11.9088689223463,18.8752028420826,3.58098591549296,88.1197183098592,0.0172413793103448,0.0273270731151793,0.00518446687730038,1,0.333333333333333,0.153846153846154,-0.249831649831657,0.743589743589744,4.46153846153846,8.92307692307692,0.303030303030303,0.181923231771685,0.00371581450653981,0.0855426687647385,41.8255037138534,"C"
2005,9,20,36.8211538461538,38.0256508285943,23.0899503722084,130.377171215881,0.05,0.0516356046139578,0.0313541917625434,0.875,0,0.222222222222222,-0.434108527131778,0.555555555555556,2.22222222222222,4.44444444444444,0.410714285714286,0.135822555494129,-0.14,-0.190964268325638,76.0907032736281,"O"
2005,12,33,8.18892979640643,11.7072929391825,1.52647975077882,41.5327102803738,0.0303030303030303,0.0433226882538649,0.00564871885519298,0.909090909090909,0.0909090909090909,0.166666666666667,-0.23452198643623,0.5,2.75,5.5,0.490909090909091,0.220123552188293,0.0179063360881544,8.80369334930547e-05,24.9262460723354,"W"
2006,14,66,11.3573691993522,21.8466123951423,3.07629744384198,143.919442292796,0.0151515151515152,0.0291448902385914,0.00410399332035432,1,0.307692307692308,0.142857142857143,-0.346718462482109,0.725274725274725,4.71428571428571,9.42857142857143,0.320512820512821,0.199921244641493,0.00401744719926538,0.083801881679838,53.3806991418895,"C"
2006,12,37,26.0464302074472,35.9643752737981,8.08716707021792,157.888619854722,0.027027027027027,0.0373183631996206,0.00839163298916751,0.909090909090909,0.0909090909090909,0.166666666666667,-0.296701554075485,0.560606060606061,3.08333333333333,6.16666666666667,0.418181818181818,0.177106990237132,0.0157048940832724,4.99570125651819e-05,75.7053000999041,"O"
2006,11,30,7.59202044025157,9.93237107313729,1.84669811320755,37.2771226415094,0.0333333333333333,0.0436088177550102,0.00810806612785478,0.8,0,0.181818181818182,-0.343669250645996,0.545454545454545,2.72727272727273,5.45454545454545,0.311111111111111,0.170302783976473,0,1.33226762955019e-15,20.5861892403589,"W"
2007,14,62,9.98259384686029,15.6856729358494,2.58007117437722,58.5160142348754,0.0161290322580645,0.0253435859109239,0.00416866115540913,0.923076923076923,0.307692307692308,0.142857142857143,-0.324750034241887,0.681318681318681,4.42857142857143,8.85714285714286,0.282051282051282,0.155119032967918,0.0338189386056191,0.0246326333375396,34.6295282233221,"C"
