"pcgroup","year","metier.cm","node_strength","eigen","dataset"
"Tillamook",2022,"Salmon",0.257422887621985,0.32709979117512,"Node_Stats"
"Columbia River",2022,"Salmon",1,1,"Node_Stats"
"Newport",2022,"Non-DTS groundfish",0.497871082057752,0.73264495560252,"Node_Stats"
"Brookings",2022,"Non-DTS groundfish",0.275122240549078,0.328987490919301,"Node_Stats"
"Brookings",2022,"Salmon",0.0570138306034709,0.0482677157677288,"Node_Stats"
"Crescent City",2022,"Non-DTS groundfish",0.202475468878183,0.251643888046898,"Node_Stats"
"Eureka",2022,"Non-DTS groundfish",0.504291182382397,0.800007042047509,"Node_Stats"
"Morro Bay",2022,"Non-DTS groundfish",0.977041915358451,1,"Node_Stats"
"Fort Bragg",2022,"Non-DTS groundfish",0.707018881388428,0.933006946035755,"Node_Stats"
"Bodega Bay",2022,"Non-DTS groundfish",0.194027271160084,0.174334851254312,"Node_Stats"
"San Francisco",2022,"Non-DTS groundfish",0.285365686771114,0.560933052494058,"Node_Stats"
"San Diego",2022,"Non-DTS groundfish",0.0487147762737564,0.0504747275328654,"Node_Stats"
"Monterey",2022,"Non-DTS groundfish",0.469845338595049,0.92073306559126,"Node_Stats"
"Santa Barbara",2022,"Non-DTS groundfish",0.135401424096325,0.227559563053707,"Node_Stats"
"Los Angeles",2022,"Non-DTS groundfish",0.0805591338161797,0.0124196092062761,"Node_Stats"
"Unknown Ports",2022,"Salmon",1,1,"Node_Stats"
"Puget Sound",2023,"Salmon",0.175983995472378,0.232144287564925,"Node_Stats"
"North WA Coast",2023,"Salmon",0.498308953441183,0.187641523949028,"Node_Stats"
"WA Coast",2023,"Salmon",0.189620293608097,0.301300786219966,"Node_Stats"
"Astoria",2023,"Non-DTS groundfish",0.621129510297633,1,"Node_Stats"
"Astoria",2023,"Salmon",0.00768628526206329,0.00545464879939639,"Node_Stats"
"Tillamook",2023,"Non-DTS groundfish",0.101055092555817,0.111626173821678,"Node_Stats"
"Columbia River",2023,"Salmon",NA,1,"Node_Stats"
"Newport",2023,"Non-DTS groundfish",0.205425594541738,0.296081043186173,"Node_Stats"
"Newport",2023,"Salmon",0.0940625775193127,0.120294709125877,"Node_Stats"
"Coos Bay",2023,"Salmon",0.0924602026638218,0.0689194199687353,"Node_Stats"
"Brookings",2023,"Non-DTS groundfish",0.730182419740675,0.957975823227886,"Node_Stats"
"Brookings",2023,"Salmon",0.278327923562277,0.388933262879729,"Node_Stats"
"Crescent City",2023,"Non-DTS groundfish",0.073163271326637,0.104035462500516,"Node_Stats"
"Eureka",2023,"Non-DTS groundfish",0.505324864027544,0.773778044968334,"Node_Stats"
"Morro Bay",2023,"Non-DTS groundfish",0.875522698508272,1,"Node_Stats"
"Fort Bragg",2023,"Non-DTS groundfish",0.742038068513957,0.943233153525247,"Node_Stats"
"Bodega Bay",2023,"Non-DTS groundfish",0.140465136173695,0.100744421245339,"Node_Stats"
"San Diego",2023,"Non-DTS groundfish",0.0952284541087804,0.116078348935428,"Node_Stats"
"Monterey",2023,"Non-DTS groundfish",0.413086640264517,0.948458525129559,"Node_Stats"
"Santa Barbara",2023,"Non-DTS groundfish",0.122765868068726,0.219412687567245,"Node_Stats"
"Unknown Ports",2023,"Salmon",1,1,"Node_Stats"
