"","30","25","35","21","50","60","1","20","2","40"
"30",0.432212028542304,0.0489296636085627,0.0468909276248726,0,0.0305810397553517,0,0.00917431192660551,0,0,0
"25",0,0.352701325178389,0.0346585117227319,0.00713557594291539,0.0163098878695209,0.00407747196738022,0.0316004077471967,0.0203873598369011,0,0
"35",0,0,0.219164118246687,0,0.017329255861366,0,0.0132517838939857,0,0,0
"21",0,0,0,0.018348623853211,0,0,0,0,0,0
"50",0,0,0,0,0.0662589194699287,0,0.0203873598369011,0,0,0
"60",0,0,0,0,0,0.0234454638124363,0,0,0,0
"1",0,0,0,0,0,0,0.0815494393476045,0,0.00305810397553517,0
"20",0,0,0,0,0,0,0,0.0316004077471967,0,0
"2",0,0,0,0,0,0,0,0,0.0101936799184506,0
"40",0,0,0,0,0,0,0,0,0,0.00509683995922528
