"","30","35","25","1","50","60","21","20","2","40","65"
"30",111.577868852459,32.6147540983607,33.5628415300546,5.12704918032787,22.4590163934426,0,0.527322404371585,0,2.5,1.52459016393443,0
"35",0,51.7814207650273,27.6502732240437,5.32786885245902,11.1065573770492,0,0,0,0,0,0
"25",0,0,154.180327868852,10.2267759562842,8.85245901639344,0,4.4016393442623,10.9344262295082,0.972677595628415,0,0
"1",0,0,0,6.36885245901639,7.3224043715847,0,0.133879781420765,0,0.726775956284153,0.224043715846995,0
"50",0,0,0,0,12.8524590163934,0,0,0,0.162568306010929,0.165300546448087,0
"60",0,0,0,0,0,1.31284153005464,0,0.0819672131147541,0,0,0.0901639344262295
"21",0,0,0,0,0,0,0.853825136612022,0.0737704918032787,0.0560109289617486,0,0
"20",0,0,0,0,0,0,0,1.14754098360656,0,0,0
"2",0,0,0,0,0,0,0,0,0.348360655737705,0.0983606557377049,0
"40",0,0,0,0,0,0,0,0,0,0.185792349726776,0
"65",0,0,0,0,0,0,0,0,0,0,0.0109289617486339
