"","30","21","25","35","1","3","80","2","45","20","65","60"
"30",276.319612590799,0,99.9515738498789,157.888619854722,47.5423728813559,40,74.4588377723971,0,0,0.76997578692494,0,0.771186440677966
"21",0,2.45157384987893,12.6174334140436,2.18886198547216,7.17675544794189,11.5835351089588,8.08716707021792,0.167070217917676,0,0,0,0
"25",0,0,144.348668280872,94.6319612590799,61.8305084745763,53.6949152542373,25.0423728813559,4.50363196125908,1.409200968523,0.893462469733656,0,0.449152542372881
"35",0,0,0,166.80387409201,48.8256658595642,34.8910411622276,10.59200968523,0.530266343825666,0.553268765133172,1.50726392251816,0,0.506053268765133
"1",0,0,0,0,54.7215496368039,59.7602905569007,32.7651331719128,5.19854721549637,0,0.276029055690073,0,0
"3",0,0,0,0,0,87.7675544794189,45.5859564164649,10.4939467312349,0,0,0,0.479418886198547
"80",0,0,0,0,0,0,58.7360774818402,6.04358353510896,0,0,0,0
"2",0,0,0,0,0,0,0,0.817191283292978,0,0,0,0
"45",0,0,0,0,0,0,0,0,1.22518159806295,0,0,0
"20",0,0,0,0,0,0,0,0,0,0.0108958837772397,0,0
"65",0,0,0,0,0,0,0,0,0,0,0.0581113801452785,0.0508474576271186
"60",0,0,0,0,0,0,0,0,0,0,0,0.0242130750605327
