"","30","25","35","1","80","50","20","60","45","21","2","40"
"30",165.270482603816,43.665544332211,21.3187429854097,8.4040404040404,29.8608305274972,18.7530864197531,0,0,0.535353535353535,0.547699214365881,0.52300785634119,0
"25",0,154.659932659933,37.3804713804714,19.9326599326599,1.1672278338945,12.4421997755331,9.42760942760943,1.4040404040404,0.906846240179573,4.47811447811448,0.443322109988777,0
"35",0,0,50.0291806958474,9.14702581369248,0.410774410774411,6.38383838383838,0.861952861952862,0,0.272727272727273,0.818181818181818,0,0
"1",0,0,0,15.5241301907969,3.28619528619529,11.4208754208754,0.372615039281706,0,0,0.173961840628507,0,0
"80",0,0,0,0,11.9618406285073,0.291806958473625,0,0,0,0,0.327721661054994,0
"50",0,0,0,0,0,13.8585858585859,0.179573512906846,0,0,0,0,0
"20",0,0,0,0,0,0,1.25701459034792,0.0763187429854097,0,0.121212121212121,0,0
"60",0,0,0,0,0,0,0,1.10662177328844,0,0,0,0
"45",0,0,0,0,0,0,0,0,0.296296296296296,0,0.0258136924803591,0
"21",0,0,0,0,0,0,0,0,0,0.516273849607183,0,0
"2",0,0,0,0,0,0,0,0,0,0,0.135802469135802,0
"40",0,0,0,0,0,0,0,0,0,0,0,0.0471380471380471
